waiting_minutes,detour_km,hour_of_day,day_of_week,dist_to_rider_km,boarded,demand
2.8156085398611546,0.4917632612935345,9,1,0.701775731504191,0,5
18.060728585505124,0.5255372589032858,7,0,0.618222330653258,1,4
7.900474161272696,0.0,11,6,0.0,0,1
5.477655322655719,0.49569156113331003,14,2,0.6648910175992823,0,5
1.0177492227740776,0.13789427403567472,8,4,0.13789427403567472,0,0
1.017577751487631,0.4713951073965572,18,1,0.4713951073965572,0,2
0.35903261165208405,0.2863107014667169,18,6,0.31456309778782565,0,4
12.067385186879637,0.3057551128161997,7,0,0.3179402370704999,1,4
5.514492921763587,0.26298047011575626,10,2,0.3047414846182742,1,3
7.387500370227542,0.5424258408466972,21,0,0.5424258408466972,0,1
0.12479584799483173,0.052082397494994326,11,4,0.1216620135063492,0,1
21.021344850949873,0.42156806774700173,15,3,0.43497565216915096,1,1
10.71857726012805,0.5202660329779101,6,1,0.6431600309550354,0,1
1.432125751493682,0.4432680161080821,20,4,0.5249876038059459,0,0
1.2040739324979801,0.7649397828646836,6,0,0.7649397828646836,0,1
1.2156685369935423,0.19421064745506023,16,0,0.19421064745506023,1,1
2.176522376762863,0.49146096451870624,12,6,0.5991267645719185,0,3
4.4635669851651265,0.2787818729317159,20,1,0.2787818729317159,0,1
3.3932224006820197,0.5466812152705339,6,4,0.652860425892053,0,0
2.065337955323649,0.2984622008557261,14,3,0.2984622008557261,0,2
5.678225243398792,0.22242484362750609,9,4,0.28538506585822027,0,4
0.901407172364032,0.5612144407743258,9,5,0.5612144407743258,0,5
2.0730930720144136,0.20168761219621398,19,0,0.24892835476476227,0,1
2.7376633093250824,0.01745484821988874,22,4,0.13317252129493087,0,0
3.65360812715865,0.1966306233652343,6,0,0.1966306233652343,0,1
9.227616066185472,0.4238065893177065,10,3,0.4238065893177065,0,4
1.3364151727721416,0.5784077503174183,12,2,0.5784077503174183,0,2
4.332174930198766,0.3222258750593024,12,6,0.3222258750593024,1,3
